0,0,0,0,0,21,18608,83106,1.3e+05,86696,67104,65252,65453,64460,64895,79358,1.02e+05,1.57e+05,2.35e+05,1.83e+05,1.01e+05,88256,79944,20016,0,0,0,0,0,9,7057,31172,48923,33378,26060,25449,25383,25071,25198,30805,39707,59554,87929,68925,38766,34103,31296,7877
0,0,0,0,0,0,3233,10944,14924,10248,8179,9340,9982,9731,11954,15595,22581,39117,60051,42042,25212,23194,15116,1927,0,0,0,0,0,0,1218,4092,5617,3944,3209,3618,3868,3800,4612,6011,8658,14712,22335,15715,9662,8968,5917,742
0,0,0,0,0,53,14694,53605,79461,56467,45763,45994,45874,44531,50595,62945,80856,1.28e+05,1.85e+05,1.29e+05,77306,69908,54195,8809,0,0,0,0,0,18,5584,20120,30181,21767,17832,17886,17845,17303,19725,24411,31233,48698,69517,48584,29750,27086,21137,3483
0,0,0,0,0,331,6862,19571,25645,23317,20044,17703,18804,19845,21742,27201,34169,54185,81375,56218,37405,29573,24760,3443,0,0,0,0,0,129,2635,7349,9741,9044,7818,6884,7317,7691,8482,10592,13165,20641,30521,21186,14341,11466,9641,1358
0,0,0,0,50,929,11813,31422,46293,32702,25604,19433,23532,24672,26697,30071,33789,53978,66105,47565,29192,22144,16931,1513,0,0,0,0,20,359,4566,12075,17501,12621,10010,7631,9235,9692,10443,11758,13110,20603,25095,18285,11327,8687,6583,604
0,0,0,0,0,449,6984,32087,74368,50207,24326,17671,20994,23734,22183,22004,24322,40773,49044,35450,24630,24922,19575,2019,0,0,0,0,0,168,2639,12107,27867,19009,9499,6955,8195,9202,8650,8456,9398,15431,18402,13446,9450,9721,7656,794
0,0,0,0,0,196,8562,29184,95977,56701,28762,21626,24148,26335,23504,21121,23488,33294,45105,24770,14886,12666,9741,1272,0,0,0,0,0,70,3264,11140,35955,21560,11296,8480,9452,10320,9260,8268,9140,12759,16940,9429,5770,4924,3828,497
0,0,0,0,0,576,13823,65892,2.44e+05,2.18e+05,1.15e+05,1.01e+05,95780,95340,86949,80621,81920,1.07e+05,1.23e+05,73431,31734,21679,13294,1779,0,0,0,0,0,222,5271,24823,91141,82471,44420,39487,37588,37396,34055,31661,32123,41508,46863,28303,12330,8417,5236,717
0,0,0,0,0,641,4944,24933,40891,27160,13204,9939,9953,12031,9910,9524,8959,12847,17918,10584,7338,6795,4532,410,0,0,0,0,0,243,1890,9276,15257,10319,5076,3834,3838,4626,3865,3716,3494,4960,6901,4081,2865,2680,1775,164
0,0,0,0,0,474,9157,31169,50962,36505,18378,11374,12650,13384,9362,8440,7174,9877,14196,8694,4749,4316,3870,505,0,0,0,0,0,185,3455,11685,18946,13678,7050,4391,4852,5102,3630,3251,2834,3842,5417,3352,1865,1694,1530,202
0,0,0,0,0,595,15027,45654,1.03e+05,1.11e+05,54987,44175,43207,46769,40392,35310,36882,44331,54861,30128,15307,11483,7006,696,0,0,0,0,0,225,5739,17204,38531,41758,21235,17222,16803,18251,15795,13830,14589,17321,21054,11682,5954,4492,2755,269
0,0,0,0,0,953,13217,45242,1.62e+05,1.63e+05,64778,39996,37383,41150,34665,28528,29010,35755,40157,24354,11207,10085,6468,411,0,0,0,0,0,356,5068,16984,60154,60819,24594,15537,14543,15900,13479,11165,11429,13928,15426,9407,4381,3959,2518,164
0,0,0,0,0,1337,37676,61324,2.13e+05,1.44e+05,83190,74385,67008,68438,61804,52566,54504,73506,81718,44923,23094,15354,11905,9668,0,0,0,0,0,522,14814,23346,79823,54658,32434,29324,26257,26927,24376,20740,21689,28958,31703,17477,9008,5969,4663,3737
0,0,0,0,0,208,5448,29229,67556,45950,19219,15521,17594,21305,14996,13027,14962,17848,23519,13836,11147,11708,10695,563,0,0,0,0,0,82,2067,11069,25256,17388,7395,5978,6794,8270,5779,5055,5737,6818,8891,5285,4291,4537,4163,221
0,0,0,0,0,145,6345,28504,1.84e+05,1.28e+05,47878,23891,26682,34136,25588,21166,19334,27118,28885,17086,11361,10993,9492,531,0,0,0,0,0,57,2422,10578,68009,47619,17979,9136,10162,13019,9808,8080,7391,10353,10881,6522,4431,4278,3713,212
0,0,0,0,0,996,30077,1.06e+05,2.12e+05,1.32e+05,77327,61236,63214,65324,60044,59220,60596,85887,96859,60716,35686,33044,26736,1381,0,0,0,0,0,386,11618,40466,79641,50246,30070,23810,24616,25447,23407,23048,23570,33262,37199,23473,13821,12886,10452,538
